Name,Country_ID,Country,Gaul_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
North-Western,ZMB,Zambia,3431,0.4171,0.421,0.4109,0.3867,0.3512,0.2617,0.2137,0.1695,0.1306,0.1177,0.1198,0.1063,0.1381,0.1903,0.1894,0.1531
Northern,ZMB,Zambia,3432,0.4753,0.4696,0.4495,0.4165,0.3679,0.2899,0.2327,0.1869,0.149,0.1394,0.1446,0.1326,0.164,0.2152,0.2058,0.1599
Southern,ZMB,Zambia,3433,0.3036,0.3018,0.2741,0.2375,0.1872,0.1039,0.0807,0.062,0.0544,0.0542,0.0554,0.0456,0.0468,0.0583,0.0583,0.0471
Western,ZMB,Zambia,3434,0.2558,0.2608,0.2506,0.2351,0.2102,0.125,0.1006,0.076,0.0572,0.052,0.0592,0.0635,0.109,0.1742,0.1749,0.1462
Bulawayo,ZWE,Zimbabwe,3435,0.0094,0.0095,0.0105,0.0134,0.0152,0.0155,0.0162,0.0168,0.0173,0.0158,0.0118,0.0098,0.0096,0.011,0.0108,0.0105
Harare,ZWE,Zimbabwe,3436,0.0055,0.006,0.0068,0.0087,0.0085,0.0081,0.0079,0.0089,0.0108,0.0117,0.0103,0.0101,0.0121,0.0143,0.0136,0.0136
Manicaland,ZWE,Zimbabwe,3437,0.0197,0.0275,0.039,0.0476,0.0588,0.0621,0.0726,0.0696,0.0619,0.0486,0.0344,0.0293,0.0312,0.033,0.0319,0.0312
Mashonaland Central,ZWE,Zimbabwe,3438,0.0235,0.0254,0.0261,0.0223,0.0179,0.0137,0.0135,0.0137,0.0167,0.0195,0.0185,0.0194,0.024,0.0292,0.0279,0.0274
Mashonaland West,ZWE,Zimbabwe,3440,0.0238,0.0231,0.0224,0.0184,0.015,0.0118,0.0128,0.0143,0.0197,0.0257,0.0262,0.0273,0.0302,0.0317,0.0313,0.0301
Masvingo,ZWE,Zimbabwe,3441,0.0275,0.0288,0.0305,0.0342,0.038,0.036,0.0395,0.0376,0.0355,0.0309,0.0229,0.0201,0.0212,0.0243,0.0243,0.0232
Matabeleland South,ZWE,Zimbabwe,3443,0.0116,0.0112,0.0116,0.0149,0.0171,0.0166,0.0168,0.0174,0.0172,0.0169,0.0127,0.0113,0.0106,0.0123,0.0123,0.0118
Midlands,ZWE,Zimbabwe,3444,0.0146,0.0138,0.0144,0.0155,0.0171,0.017,0.0197,0.0212,0.0251,0.0279,0.0253,0.0252,0.0273,0.0276,0.0269,0.0265
Southern Kordofan,SDN,Sudan,4150,0.0812,0.0866,0.0836,0.0774,0.0702,0.0665,0.0391,0.0304,0.0225,0.0187,0.017,0.0161,0.0189,0.0232,0.0238,0.0233
Batha Est,TCD,Chad,12904,0.1385,0.1427,0.1431,0.1435,0.1375,0.1408,0.1401,0.0973,0.0908,0.0907,0.0916,0.0837,0.0822,0.0814,0.0781,0.0801
Batha Ouest,TCD,Chad,12905,0.1217,0.1244,0.1279,0.1313,0.13,0.1331,0.1327,0.0961,0.0868,0.0826,0.0806,0.0727,0.0712,0.0684,0.0669,0.0674
Borkou,TCD,Chad,12907,0.0056,0.0057,0.0059,0.0058,0.0053,0.0054,0.0054,0.0042,0.0042,0.0043,0.0043,0.0042,0.0041,0.004,0.0041,0.0041
Ennedi,TCD,Chad,12908,0.026,0.0271,0.0274,0.0257,0.0246,0.0239,0.0242,0.0173,0.0164,0.0156,0.0154,0.0173,0.0179,0.0179,0.0191,0.0189
Tibesti,TCD,Chad,12909,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
Baguirmi,TCD,Chad,12910,0.1249,0.1272,0.128,0.1325,0.1319,0.1401,0.1446,0.113,0.1047,0.1007,0.1008,0.0928,0.0983,0.0972,0.0965,0.0943
Daraba,TCD,Chad,12911,0.1595,0.1575,0.1564,0.159,0.1586,0.1651,0.1673,0.1252,0.113,0.1055,0.1029,0.0944,0.0965,0.095,0.0906,0.0917
Hadjer Lamis,TCD,Chad,12912,0.2403,0.2454,0.2477,0.2442,0.2299,0.2285,0.215,0.161,0.1267,0.1029,0.0937,0.0868,0.0998,0.1124,0.1076,0.1085
Barl El Gazal,TCD,Chad,12914,0.1368,0.1397,0.1379,0.1355,0.1227,0.1271,0.122,0.0904,0.0835,0.0836,0.0801,0.0741,0.0711,0.0695,0.0685,0.0689
Kanem,TCD,Chad,12915,0.154,0.1597,0.1609,0.1556,0.1411,0.1417,0.1344,0.099,0.0867,0.0791,0.0741,0.0688,0.0679,0.0699,0.0679,0.0688
Logone Oriental,TCD,Chad,12918,0.1061,0.1102,0.1162,0.1222,0.1293,0.1472,0.1601,0.1311,0.1255,0.123,0.1217,0.1116,0.1116,0.1036,0.0985,0.0983
Mont De Lam,TCD,Chad,12919,0.2063,0.2193,0.2321,0.2399,0.2446,0.2535,0.2628,0.2319,0.2165,0.2073,0.2006,0.1815,0.175,0.1656,0.167,0.1538
Kabia,TCD,Chad,12920,0.0754,0.078,0.0839,0.0896,0.0978,0.1108,0.1281,0.1182,0.1348,0.1588,0.1693,0.1583,0.1539,0.128,0.1263,0.125
Mayo-Boneye,TCD,Chad,12921,0.0761,0.0812,0.0866,0.0921,0.0934,0.1063,0.12,0.103,0.1083,0.1172,0.124,0.1172,0.1224,0.1062,0.1109,0.1059
Mayo-Dala,TCD,Chad,12922,0.1412,0.1489,0.1565,0.1579,0.1585,0.1622,0.1712,0.153,0.1566,0.1698,0.1724,0.1621,0.166,0.1525,0.1477,0.1453
Barh Koh,TCD,Chad,12923,0.1797,0.1783,0.1797,0.1813,0.1758,0.1806,0.1829,0.1476,0.1364,0.1322,0.1292,0.1153,0.1152,0.1117,0.1072,0.1036
Lac Iro,TCD,Chad,12924,0.2204,0.2224,0.2214,0.2248,0.218,0.2221,0.2264,0.1911,0.1793,0.1765,0.1722,0.1515,0.1444,0.1339,0.1352,0.1242
Mandoul,TCD,Chad,12925,0.148,0.1481,0.1497,0.1528,0.1519,0.162,0.1678,0.134,0.1242,0.1216,0.1217,0.114,0.1157,0.1086,0.104,0.102
Assongha,TCD,Chad,12926,0.1176,0.1302,0.1426,0.1482,0.1536,0.1627,0.1614,0.1093,0.0949,0.0811,0.0675,0.0526,0.0428,0.0405,0.038,0.0398
Ouaddai,TCD,Chad,12927,0.1338,0.1409,0.1467,0.15,0.1516,0.1597,0.1641,0.1196,0.1126,0.1088,0.0994,0.0838,0.0711,0.0667,0.0634,0.0649
Sila,TCD,Chad,12928,0.158,0.1672,0.1765,0.1861,0.1978,0.2167,0.2292,0.1823,0.1757,0.1703,0.1535,0.1272,0.1012,0.0835,0.0805,0.0798
Tandjile Est,TCD,Chad,12930,0.0311,0.0329,0.0359,0.0385,0.0427,0.0553,0.0667,0.0545,0.0553,0.0582,0.06,0.056,0.0602,0.0575,0.0605,0.0577
Tandjile Ouest,TCD,Chad,12931,0.0409,0.045,0.0493,0.0541,0.0589,0.0723,0.0865,0.0757,0.0827,0.0928,0.0937,0.0843,0.0811,0.0709,0.0683,0.0696
Comoe,CIV,Côte d'Ivoire,16837,0.7758,0.8173,0.834,0.8354,0.8231,0.797,0.7669,0.7349,0.6881,0.6308,0.5781,0.5283,0.5014,0.5221,0.4902,0.4686
District Autonome d'Abidjan,CIV,Côte d'Ivoire,16838,0.46,0.5257,0.594,0.6654,0.7442,0.7893,0.7835,0.7334,0.6184,0.4762,0.3842,0.3342,0.3409,0.3753,0.3536,0.3419
District autonome de yamoussoukro,CIV,Côte d'Ivoire,16839,0.6954,0.7128,0.705,0.6867,0.6468,0.6091,0.5928,0.599,0.6272,0.6494,0.629,0.5586,0.46,0.393,0.3553,0.3316
GÃ´h-Djiboua,CIV,Côte d'Ivoire,16840,0.5968,0.6154,0.6127,0.6005,0.5827,0.5614,0.5544,0.5546,0.5692,0.5823,0.5748,0.5224,0.4685,0.4335,0.3906,0.3669
Lacs,CIV,Côte d'Ivoire,16841,0.7364,0.7599,0.7602,0.7402,0.7015,0.6527,0.6215,0.6163,0.631,0.6446,0.6261,0.569,0.4935,0.4518,0.4151,0.3861
Lagunes,CIV,Côte d'Ivoire,16842,0.6376,0.6669,0.6808,0.6886,0.6982,0.697,0.6899,0.6755,0.6561,0.6254,0.5913,0.5324,0.4824,0.4668,0.428,0.4053
Montagnes,CIV,Côte d'Ivoire,16843,0.5985,0.6278,0.6447,0.6514,0.6498,0.6356,0.6186,0.6007,0.5809,0.5522,0.5314,0.4803,0.4549,0.4591,0.4144,0.3829
Sassandra-Marahoue,CIV,Côte d'Ivoire,16844,0.7102,0.7374,0.7449,0.7387,0.7187,0.6887,0.6651,0.6476,0.6361,0.6168,0.591,0.5424,0.5058,0.4941,0.451,0.4175
Woroba,CIV,Côte d'Ivoire,16845,0.7735,0.7861,0.7882,0.7802,0.7623,0.7327,0.6941,0.6663,0.6342,0.5968,0.5414,0.4612,0.3789,0.3651,0.3281,0.3036
East/Iburasirazuba,RWA,Rwanda,21969,0.2573,0.2609,0.2518,0.2093,0.1332,0.0898,0.0627,0.0497,0.0456,0.0443,0.0425,0.04,0.0385,0.0407,0.0392,0.0355
Kigali City/Umujyi wa Kigali,RWA,Rwanda,21970,0.157,0.155,0.1471,0.1198,0.0649,0.0416,0.0275,0.0199,0.0157,0.0133,0.0126,0.0133,0.0153,0.0197,0.0189,0.0175
North/Amajyaruguru,RWA,Rwanda,21971,0.0839,0.0843,0.0824,0.0691,0.0425,0.03,0.0213,0.0169,0.0142,0.0127,0.0115,0.0109,0.0104,0.012,0.012,0.0107
South/Amajyepfo,RWA,Rwanda,21972,0.1248,0.1235,0.1201,0.1043,0.0618,0.0467,0.0362,0.0312,0.0276,0.0266,0.0256,0.0269,0.0299,0.0333,0.0339,0.031
West/Iburengerazuba,RWA,Rwanda,21973,0.0645,0.0642,0.0644,0.0585,0.0347,0.0282,0.023,0.0195,0.0165,0.0147,0.0137,0.0137,0.0153,0.0179,0.019,0.017
Upper Nile,SSD,South Sudan,37021,0.1689,0.1748,0.1701,0.1173,0.0889,0.0742,0.0646,0.0627,0.0632,0.0618,0.0619,0.06,0.0637,0.0664,0.0745,0.0702
Boucle Du Mouhoun,BFA,Burkina Faso,40276,0.7813,0.753,0.7185,0.6824,0.626,0.5902,0.5895,0.6372,0.7223,0.7846,0.7862,0.7243,0.6395,0.5126,0.4736,0.4672
Cascades,BFA,Burkina Faso,40277,0.7161,0.7122,0.7018,0.6921,0.6733,0.653,0.6404,0.6504,0.6633,0.6622,0.6201,0.5435,0.4739,0.3996,0.3695,0.3579
Centre,BFA,Burkina Faso,40278,0.6292,0.583,0.5128,0.4303,0.3234,0.2536,0.2123,0.2209,0.2712,0.3176,0.3092,0.2523,0.2049,0.1712,0.1641,0.1604
Centre-est,BFA,Burkina Faso,40279,0.6522,0.6276,0.6105,0.6131,0.6069,0.6127,0.621,0.6572,0.7093,0.7381,0.7024,0.5837,0.4538,0.3244,0.2975,0.2946
Centre-nord,BFA,Burkina Faso,40280,0.7233,0.7403,0.7352,0.7164,0.6598,0.617,0.5953,0.6219,0.6865,0.7269,0.7181,0.6463,0.561,0.4569,0.4266,0.427
Centre-ouest,BFA,Burkina Faso,40281,0.7408,0.7092,0.6728,0.6439,0.5977,0.5733,0.5775,0.6289,0.7194,0.7803,0.7718,0.6809,0.5502,0.4092,0.3806,0.375
Centre-sud,BFA,Burkina Faso,40282,0.7129,0.6611,0.6068,0.5673,0.5137,0.488,0.4951,0.5542,0.6502,0.7192,0.7061,0.5979,0.4585,0.3296,0.3061,0.3001
Est,BFA,Burkina Faso,40283,0.5602,0.5582,0.5576,0.5675,0.5661,0.5825,0.5941,0.6445,0.7162,0.758,0.7377,0.6423,0.5255,0.3869,0.363,0.3629
Hauts-bassins,BFA,Burkina Faso,40284,0.7634,0.7612,0.7482,0.7248,0.6801,0.6345,0.607,0.6059,0.6131,0.6174,0.5966,0.5622,0.5549,0.5075,0.4766,0.4659
Nord,BFA,Burkina Faso,40285,0.6784,0.6801,0.6775,0.6741,0.6552,0.6485,0.6305,0.6399,0.6629,0.6699,0.6557,0.6059,0.5767,0.4999,0.4679,0.4678
Plateau Central,BFA,Burkina Faso,40286,0.7794,0.7705,0.7376,0.6963,0.6069,0.5352,0.4932,0.5132,0.5866,0.6443,0.6375,0.5452,0.4385,0.3388,0.3117,0.3094
Sahel,BFA,Burkina Faso,40287,0.4659,0.4748,0.4869,0.4987,0.5041,0.5395,0.5624,0.635,0.7219,0.7722,0.7633,0.69,0.5838,0.4468,0.4256,0.4297
Sud-ouest,BFA,Burkina Faso,40288,0.696,0.6806,0.6638,0.6555,0.6396,0.6283,0.6458,0.7072,0.7886,0.8388,0.8291,0.7584,0.6315,0.471,0.4421,0.4323
Bubanza,BDI,Burundi,40542,0.3074,0.3021,0.2919,0.2725,0.2489,0.1593,0.1362,0.1243,0.1089,0.1034,0.0914,0.0831,0.0858,0.0803,0.0844,0.0763
Bujumbura-Mairie,BDI,Burundi,40543,0.3027,0.3004,0.2965,0.2809,0.2625,0.1714,0.1463,0.125,0.1051,0.092,0.0727,0.0579,0.0497,0.0461,0.0468,0.0433
Bujumbura-Rural,BDI,Burundi,40544,0.2949,0.2916,0.2836,0.2673,0.2464,0.1686,0.1429,0.1209,0.0997,0.0859,0.0668,0.0512,0.0428,0.0396,0.0411,0.0368
Bururi,BDI,Burundi,40545,0.2827,0.2824,0.2759,0.2646,0.2508,0.2067,0.1816,0.1538,0.1211,0.0983,0.0717,0.0505,0.037,0.0324,0.0326,0.0286
Cankuzo,BDI,Burundi,40546,0.7174,0.7371,0.721,0.6689,0.589,0.4793,0.4325,0.4261,0.44,0.4609,0.4127,0.3381,0.2454,0.1711,0.1603,0.1399
Cibitoke,BDI,Burundi,40547,0.229,0.226,0.2188,0.2064,0.1925,0.1136,0.1026,0.1015,0.0971,0.0986,0.097,0.0996,0.117,0.1099,0.1171,0.1069
Gitega,BDI,Burundi,40548,0.4278,0.4237,0.3951,0.3493,0.2915,0.2086,0.1782,0.1587,0.1475,0.1445,0.1201,0.0934,0.0706,0.0558,0.0565,0.0495
Karuzi,BDI,Burundi,40549,0.5827,0.5763,0.5365,0.4653,0.3766,0.2815,0.2468,0.2399,0.2481,0.2672,0.2405,0.204,0.1594,0.1193,0.1185,0.1027
Kayanza,BDI,Burundi,40550,0.3422,0.3372,0.3205,0.2933,0.2647,0.1807,0.1558,0.1409,0.1258,0.1177,0.0945,0.0749,0.0595,0.0489,0.0502,0.0452
Kirundo,BDI,Burundi,40551,0.4649,0.4606,0.4396,0.3939,0.3401,0.2456,0.2096,0.1965,0.1864,0.1931,0.1927,0.2106,0.2441,0.2302,0.2267,0.2062
Makamba,BDI,Burundi,40552,0.5824,0.5976,0.5904,0.5623,0.5197,0.4272,0.3743,0.3222,0.2687,0.2316,0.1763,0.132,0.1018,0.085,0.0825,0.0728
Muramvya,BDI,Burundi,40553,0.2885,0.2832,0.2661,0.2398,0.2061,0.1429,0.1223,0.105,0.0889,0.0796,0.0601,0.0432,0.0314,0.0264,0.0269,0.0242
Muyinga,BDI,Burundi,40554,0.5601,0.5587,0.5294,0.4715,0.3984,0.311,0.2795,0.2763,0.2868,0.3069,0.2827,0.2565,0.2173,0.1716,0.1662,0.1471
Mwaro,BDI,Burundi,40555,0.2094,0.2066,0.1932,0.1701,0.1457,0.1053,0.09,0.0769,0.0672,0.0619,0.0477,0.0353,0.0253,0.0208,0.0214,0.0187
Ngozi,BDI,Burundi,40556,0.4564,0.4489,0.4293,0.3876,0.3408,0.2591,0.2331,0.2183,0.2119,0.2138,0.1871,0.1634,0.1368,0.1085,0.1092,0.0967
Rutana,BDI,Burundi,40557,0.5822,0.5992,0.5814,0.5378,0.4758,0.3587,0.3061,0.2736,0.2493,0.244,0.2051,0.1669,0.1324,0.1068,0.1029,0.0917
Ruyigi,BDI,Burundi,40558,0.6901,0.7066,0.681,0.6255,0.5366,0.411,0.3539,0.336,0.3309,0.3414,0.2985,0.2438,0.181,0.1337,0.1282,0.1115
Boke,GIN,Guinea,40700,0.5745,0.5568,0.5267,0.4842,0.4251,0.3743,0.3407,0.3162,0.3197,0.3054,0.3008,0.2999,0.3052,0.3148,0.2989,0.2684
Conakry,GIN,Guinea,40701,0.3044,0.3125,0.3151,0.306,0.2898,0.278,0.2638,0.2214,0.1998,0.1656,0.1277,0.0872,0.0548,0.0492,0.0453,0.0415
Faranah,GIN,Guinea,40702,0.495,0.5027,0.5025,0.4939,0.4758,0.465,0.4631,0.4616,0.4914,0.5077,0.5439,0.6097,0.6788,0.6659,0.6477,0.6142
Kankan,GIN,Guinea,40703,0.5168,0.5233,0.5224,0.5176,0.5051,0.4956,0.4924,0.4869,0.4912,0.483,0.4889,0.5204,0.5699,0.5588,0.5352,0.5049
Kindia,GIN,Guinea,40704,0.4635,0.4567,0.4463,0.4317,0.414,0.4065,0.4067,0.4073,0.4384,0.4439,0.4558,0.4647,0.4637,0.4269,0.4057,0.3755
Labe,GIN,Guinea,40705,0.4713,0.4869,0.4811,0.4583,0.4071,0.3684,0.342,0.3154,0.3246,0.3257,0.3339,0.3532,0.3675,0.354,0.3414,0.3128
Mamou,GIN,Guinea,40706,0.3775,0.384,0.3825,0.3739,0.3544,0.345,0.3456,0.3298,0.3575,0.368,0.3871,0.4086,0.4167,0.3882,0.3731,0.343
N'Zerekore,GIN,Guinea,40707,0.6343,0.6437,0.6455,0.6438,0.6401,0.6357,0.6285,0.626,0.6375,0.6229,0.6109,0.6202,0.6334,0.6075,0.5938,0.5519
Red Sea,SDN,Sudan,40772,0.031,0.0338,0.0338,0.0311,0.0284,0.0273,0.0194,0.0151,0.0125,0.0115,0.0107,0.0095,0.0093,0.0105,0.0104,0.0106
Administrative unit not available,SDN,Sudan,40776,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0,0,0,0
Administrative unit not available,SDN,Sudan,40777,0.0026,0.0027,0.0028,0.0026,0.0025,0.0022,0.0016,0.0014,0.0013,0.0013,0.0011,0.0011,0.0012,0.0013,0.0013,0.0014
Alaotra Mangoro,MDG,Madagascar,41750,0.1792,0.201,0.2279,0.2474,0.2682,0.2333,0.2132,0.1877,0.1359,0.0932,0.0638,0.0399,0.0313,0.0328,0.0299,0.0261
Amoron'i Mania,MDG,Madagascar,41751,0.0558,0.0598,0.0685,0.0787,0.0951,0.1132,0.1163,0.0857,0.0615,0.0423,0.0298,0.0212,0.0209,0.0252,0.022,0.0201
Analamanga,MDG,Madagascar,41752,0.0175,0.0213,0.028,0.0372,0.0539,0.0793,0.0915,0.0785,0.0606,0.0431,0.0324,0.0232,0.0219,0.0249,0.0214,0.0199
Analanjirofo,MDG,Madagascar,41753,0.4248,0.4441,0.4508,0.4495,0.4385,0.3881,0.337,0.2767,0.1883,0.1261,0.0846,0.0508,0.0382,0.0428,0.0382,0.0312
Androy,MDG,Madagascar,41754,0.2695,0.2815,0.2862,0.2828,0.2674,0.2217,0.176,0.1364,0.0813,0.0465,0.0301,0.0237,0.0285,0.0419,0.0359,0.0322
Anosy,MDG,Madagascar,41755,0.2763,0.278,0.2767,0.2709,0.26,0.2181,0.183,0.15,0.0987,0.0668,0.0516,0.047,0.0643,0.0857,0.0747,0.0664
Atsimo Andrefana,MDG,Madagascar,41756,0.2526,0.2618,0.26,0.2541,0.2361,0.1956,0.1525,0.1105,0.0593,0.033,0.0237,0.0227,0.0357,0.0624,0.0537,0.0481
Atsimo Atsinanana,MDG,Madagascar,41757,0.2771,0.2836,0.2863,0.287,0.2823,0.2491,0.2317,0.2097,0.1722,0.1455,0.1285,0.1162,0.1412,0.161,0.1454,0.1266
Atsinanana,MDG,Madagascar,41758,0.2435,0.2691,0.2961,0.3244,0.3553,0.3398,0.3274,0.3028,0.2486,0.1965,0.1546,0.107,0.0858,0.0818,0.0752,0.0648
Betsiboka,MDG,Madagascar,41759,0.2289,0.2379,0.246,0.2468,0.2365,0.1869,0.1611,0.1435,0.1121,0.0883,0.0703,0.0517,0.0501,0.0583,0.0501,0.0457
Boeny,MDG,Madagascar,41760,0.249,0.2511,0.2508,0.2461,0.2327,0.1809,0.1513,0.1384,0.1042,0.079,0.0598,0.0427,0.0401,0.0448,0.0397,0.035
Bongolava,MDG,Madagascar,41761,0.1655,0.1642,0.1651,0.1681,0.1716,0.1648,0.1321,0.1041,0.0684,0.046,0.0335,0.0271,0.0331,0.0484,0.0405,0.0376
Diana,MDG,Madagascar,41762,0.2663,0.2764,0.2821,0.2812,0.2697,0.2136,0.1725,0.1294,0.0781,0.0516,0.0391,0.0333,0.0435,0.0618,0.0553,0.0473
Haute Matsiatra,MDG,Madagascar,41763,0.0573,0.0638,0.0731,0.0823,0.0965,0.1062,0.094,0.0827,0.0613,0.0429,0.0295,0.0194,0.0165,0.0183,0.0161,0.0147
Ihorombe,MDG,Madagascar,41764,0.1454,0.152,0.1586,0.1629,0.1652,0.1281,0.1155,0.1042,0.0756,0.0538,0.0402,0.0311,0.0335,0.0426,0.0369,0.0336
Itasy,MDG,Madagascar,41765,0.0379,0.0377,0.041,0.0467,0.0588,0.0777,0.086,0.0644,0.0482,0.035,0.0267,0.0212,0.0235,0.0296,0.0252,0.0235
Melaky,MDG,Madagascar,41766,0.337,0.3395,0.3388,0.3343,0.3229,0.2732,0.2275,0.175,0.1079,0.0711,0.0577,0.0574,0.0904,0.1419,0.1249,0.111
Menabe,MDG,Madagascar,41767,0.3046,0.3086,0.3089,0.3089,0.3011,0.249,0.2044,0.1553,0.0914,0.0557,0.0411,0.0356,0.0496,0.0811,0.0706,0.0621
Sava,MDG,Madagascar,41768,0.3269,0.3435,0.3506,0.356,0.3426,0.2974,0.2567,0.2107,0.1425,0.1004,0.0751,0.0557,0.0561,0.0676,0.0598,0.0502
Sofia,MDG,Madagascar,41769,0.2795,0.2925,0.3019,0.3004,0.2851,0.225,0.1909,0.1603,0.1131,0.0833,0.066,0.0533,0.0622,0.0797,0.0697,0.0627
Vakinankaratra,MDG,Madagascar,41770,0.0379,0.0396,0.0441,0.0505,0.0599,0.0726,0.0704,0.0556,0.0419,0.0304,0.0226,0.0166,0.0165,0.0197,0.0169,0.0157
Vatovavy Fitovinany,MDG,Madagascar,41771,0.2053,0.2198,0.2338,0.2487,0.2586,0.2341,0.2229,0.209,0.1807,0.1528,0.1285,0.0972,0.0956,0.1025,0.0947,0.0828
Kabarole,UGA,Uganda,42180,0.486,0.4971,0.497,0.4863,0.4665,0.4414,0.4024,0.3362,0.2967,0.2726,0.2221,0.1883,0.1704,0.1555,0.1682,0.1554
Kaberamaido,UGA,Uganda,42181,0.6746,0.7129,0.7032,0.6594,0.5569,0.4484,0.3945,0.3744,0.4337,0.5087,0.484,0.395,0.2963,0.2128,0.223,0.2084
Kampala,UGA,Uganda,42182,0.1985,0.2182,0.2281,0.2173,0.1938,0.1691,0.1243,0.1026,0.1014,0.1065,0.088,0.0725,0.0632,0.0579,0.0634,0.067
Kamwenge,UGA,Uganda,42183,0.5403,0.5539,0.555,0.5405,0.5193,0.4937,0.457,0.3927,0.3552,0.3279,0.2697,0.2216,0.1867,0.1574,0.1728,0.1572
Kanungu,UGA,Uganda,42184,0.3048,0.3231,0.3311,0.3224,0.298,0.2737,0.2137,0.1525,0.1167,0.0922,0.0705,0.0552,0.0492,0.0458,0.0513,0.0502
Kayunga,UGA,Uganda,42185,0.414,0.483,0.529,0.5321,0.5091,0.4903,0.4713,0.4745,0.5385,0.5902,0.5279,0.3805,0.2313,0.1362,0.1503,0.1436
Mayuge,UGA,Uganda,42189,0.4772,0.5993,0.6564,0.6567,0.6049,0.5554,0.5458,0.5606,0.6383,0.7111,0.6486,0.4936,0.2934,0.1592,0.1719,0.1663
Nakasongola,UGA,Uganda,42195,0.603,0.6384,0.6381,0.6009,0.5189,0.4442,0.4003,0.3852,0.4409,0.4988,0.4609,0.3729,0.2802,0.1989,0.21,0.1975
Rukungiri,UGA,Uganda,42197,0.3476,0.3686,0.3794,0.3617,0.3353,0.303,0.2443,0.1763,0.1374,0.1101,0.0841,0.0672,0.0616,0.0584,0.0659,0.0631
Wakiso,UGA,Uganda,42200,0.2946,0.3246,0.3388,0.323,0.287,0.2528,0.1961,0.1649,0.1625,0.1675,0.1423,0.1147,0.0971,0.0836,0.0929,0.0935
Yumbe,UGA,Uganda,42201,0.7138,0.693,0.6702,0.6464,0.6171,0.5983,0.5838,0.5613,0.5734,0.5772,0.502,0.3917,0.272,0.1895,0.1947,0.1747
Amolatar,UGA,Uganda,47067,0.6813,0.709,0.6981,0.644,0.5324,0.4259,0.3757,0.3752,0.4473,0.5346,0.5151,0.4278,0.3205,0.2287,0.2447,0.2234
Amuria,UGA,Uganda,47068,0.5873,0.6266,0.6207,0.5857,0.4986,0.4114,0.3697,0.3437,0.3841,0.4447,0.4126,0.3217,0.2379,0.1748,0.178,0.1722
Butaleja,UGA,Uganda,47071,0.752,0.8499,0.8763,0.8606,0.7853,0.6768,0.6074,0.5728,0.6152,0.6706,0.6248,0.5245,0.4063,0.2917,0.3084,0.2935
Ibanda,UGA,Uganda,47072,0.4864,0.5035,0.5076,0.4867,0.4659,0.4434,0.4033,0.3419,0.3029,0.2736,0.2223,0.1764,0.1436,0.1201,0.1319,0.1215
Isingiro,UGA,Uganda,47073,0.3919,0.4106,0.4217,0.3929,0.3661,0.3362,0.2871,0.2492,0.2287,0.2118,0.1588,0.1021,0.0658,0.0477,0.0518,0.0503
Kaabong,UGA,Uganda,47074,0.3136,0.3189,0.3061,0.2792,0.2342,0.2052,0.1731,0.1434,0.1339,0.1394,0.1216,0.0972,0.0865,0.0735,0.0783,0.0799
Kaliro,UGA,Uganda,47075,0.6234,0.7145,0.7511,0.743,0.688,0.6229,0.6025,0.6028,0.6644,0.7253,0.6678,0.5437,0.3764,0.2357,0.2504,0.2377
Katakwi,UGA,Uganda,47078,0.5565,0.6087,0.6125,0.5827,0.5005,0.4187,0.3736,0.3352,0.358,0.4015,0.3649,0.2825,0.2115,0.1558,0.1622,0.1574
Kiruhura,UGA,Uganda,47079,0.4981,0.5142,0.515,0.494,0.4728,0.4511,0.4208,0.3812,0.3697,0.3621,0.3062,0.2362,0.1763,0.1331,0.1423,0.1343
Koboko,UGA,Uganda,47080,0.7256,0.7013,0.6758,0.6528,0.6255,0.6069,0.5998,0.5764,0.5878,0.5929,0.5173,0.4048,0.284,0.2002,0.2034,0.1838
Luwero,UGA,Uganda,47083,0.4322,0.4855,0.5117,0.4985,0.4565,0.4182,0.3698,0.3453,0.3789,0.4082,0.365,0.2761,0.1988,0.143,0.1539,0.1511
Mbale,UGA,Uganda,47085,0.7687,0.8574,0.8751,0.846,0.7394,0.577,0.4636,0.3902,0.3912,0.4333,0.406,0.3494,0.317,0.2704,0.2869,0.2745
Mbarara,UGA,Uganda,47086,0.4242,0.4481,0.4572,0.4317,0.4014,0.362,0.3056,0.2413,0.1987,0.1655,0.1235,0.0923,0.0754,0.0671,0.0719,0.0694
Mityana,UGA,Uganda,47087,0.4323,0.4686,0.4785,0.4543,0.4087,0.3714,0.3424,0.32,0.355,0.3993,0.367,0.2997,0.2306,0.1711,0.1862,0.1795
Mubende,UGA,Uganda,47088,0.5175,0.5355,0.5334,0.51,0.4787,0.4533,0.4566,0.4556,0.5175,0.5643,0.5199,0.4162,0.2986,0.2008,0.2175,0.2041
Nakaseke,UGA,Uganda,47089,0.4944,0.5381,0.5533,0.5346,0.4873,0.4444,0.4076,0.3833,0.421,0.459,0.4192,0.3305,0.2501,0.1825,0.194,0.1884
