Latitude,Longitude,T2MMEAN,T2MMIN,T2MMAX
-36.0,-17.5,290.9351806640625,289.97186279296875,291.9556884765625
-36.0,-16.875,291.1484069824219,290.16717529296875,292.0580139160156
-36.0,-16.25,291.3850402832031,290.3316650390625,292.2172546386719
-36.0,-15.625,291.5533447265625,290.2613525390625,292.3031921386719
-36.0,-15.0,291.6324462890625,290.1754150390625,292.3031921386719
-36.0,-14.375,291.7900085449219,290.51092529296875,292.23492431640625
-36.0,-13.75,291.9888916015625,291.47967529296875,292.20880126953125
-36.0,-13.125,291.8869934082031,291.77142333984375,292.05523681640625
-36.0,-12.5,291.8238525390625,291.692626953125,292.14764404296875
-36.0,-11.875,291.8811340332031,291.7164306640625,292.24139404296875
-36.0,-11.25,291.8176574707031,291.6617431640625,292.13568115234375
-36.0,-10.625,291.6662902832031,291.55657958984375,292.01849365234375
-36.0,-10.0,291.3824462890625,291.223876953125,291.68255615234375
-36.0,-9.375,291.1747741699219,290.980712890625,291.49420166015625
-36.0,-8.75,291.0813293457031,290.824462890625,291.43951416015625
-36.0,-8.125,290.8668212890625,290.668212890625,291.11138916015625
-36.0,-7.5,290.9192199707031,290.761962890625,291.08795166015625
-36.0,-6.875,291.0562744140625,290.7955017089844,291.35357666015625
-36.0,-6.25,291.1272277832031,290.7689514160156,291.59576416015625
-36.0,-5.625,291.0201416015625,290.67327880859375,291.47076416015625
-36.0,-5.0,290.8974304199219,290.692626953125,291.25982666015625
-36.0,-4.375,290.8892822265625,290.621337890625,291.28326416015625
-36.0,-3.75,290.9107666015625,290.591064453125,291.35357666015625
-36.0,-3.125,290.9325866699219,290.3865051269531,291.24420166015625
-36.0,-2.5,290.9849853515625,290.590087890625,291.21466064453125
-36.0,-1.875,290.7984619140625,290.22662353515625,291.15045166015625
-36.0,-1.25,290.5465087890625,289.794189453125,291.07855224609375
-36.0,-0.625,290.5377197265625,289.9607238769531,290.947509765625
-36.0,-5.920304394294029e-13,290.4312744140625,290.1470642089844,290.81622314453125
-36.0,0.625,290.2060241699219,289.41986083984375,290.63397216796875
-36.0,1.25,290.3238525390625,289.92767333984375,290.58966064453125
-36.0,1.875,290.4537353515625,290.1900329589844,290.81451416015625
-36.0,2.5,290.4390869140625,290.1599426269531,290.6600341796875
-36.0,3.125,290.3124694824219,290.0583801269531,290.64105224609375
-36.0,3.75,290.2916259765625,290.06048583984375,290.60980224609375
-36.0,4.375,290.2248840332031,289.9855041503906,290.4988708496094
-36.0,5.0,289.6025085449219,289.4065856933594,289.76153564453125
-36.0,5.625,289.1601257324219,288.9612731933594,289.26153564453125
-36.0,6.25,289.2551574707031,289.05029296875,289.37042236328125
-36.0,6.875,289.1584777832031,289.02655029296875,289.30792236328125
-36.0,7.5,289.0403137207031,288.8423767089844,289.20367431640625
-36.0,8.125,289.0211181640625,288.87841796875,289.12091064453125
-36.0,8.75,289.1542663574219,288.72216796875,289.29229736328125
-36.0,9.375,289.2857666015625,288.72998046875,289.51885986328125
-36.0,10.0,289.1734619140625,288.51123046875,289.56396484375
-36.0,10.625,289.0605163574219,288.26123046875,289.76708984375
-36.0,11.25,288.8945007324219,287.97216796875,289.55615234375
-36.0,11.875,288.8557434082031,287.77685546875,289.41693115234375
-36.0,12.5,288.8756103515625,287.67529296875,289.37786865234375
-36.0,13.125,289.0657043457031,287.79248046875,289.82318115234375
-36.0,13.75,289.9397277832031,288.66748046875,291.15911865234375
-36.0,14.375,290.5634460449219,289.19091796875,292.02630615234375
-36.0,15.0,291.0875244140625,289.9143981933594,292.37786865234375
-36.0,15.625,291.3463134765625,290.37060546875,292.58880615234375
-36.0,16.25,291.5354309082031,290.62841796875,292.79193115234375
-36.0,16.875,291.6770324707031,290.90185546875,292.79974365234375
-36.0,17.5,291.6838684082031,290.98779296875,292.75286865234375
-36.0,18.125,291.6666259765625,290.94091796875,292.72943115234375
-36.0,18.75,291.8316650390625,291.09716796875,293.12005615234375
-36.0,19.375,291.8137512207031,291.0245666503906,293.44818115234375
-36.0,20.0,291.7213134765625,290.6990051269531,293.40130615234375
-36.0,20.625,291.8717041015625,290.72454833984375,293.19036865234375
-36.0,21.25,292.2317199707031,291.13623046875,293.14105224609375
-36.0,21.875,292.3918762207031,291.2980041503906,293.2459716796875
-36.0,22.5,292.5823059082031,291.60498046875,293.49505615234375
-36.0,23.125,292.7056884765625,291.84716796875,293.48724365234375
-36.0,23.75,292.7287902832031,291.78466796875,293.3631591796875
-36.0,24.375,292.5950012207031,291.66748046875,293.18011474609375
-36.0,25.0,292.5406494140625,291.64404296875,293.1053466796875
-36.0,25.625,292.3736572265625,291.5011291503906,292.9959716796875
-36.0,26.25,292.3850402832031,291.66748046875,292.8944091796875
-36.0,26.875,292.3974304199219,291.87298583984375,293.042724609375
-36.0,27.5,292.4482116699219,292.17626953125,292.894287109375
-36.0,28.125,292.3993835449219,292.10498046875,292.863037109375
-36.0,28.75,292.4104309082031,292.0894775390625,292.925537109375
-36.0,29.375,292.4651184082031,292.1755676269531,292.941162109375
-36.0,30.0,292.6656494140625,292.2964172363281,293.1209716796875
-36.0,30.625,292.5972900390625,292.1207275390625,292.9100341796875
-36.0,31.25,292.4595947265625,291.8941650390625,292.75836181640625
-36.0,31.875,292.1643371582031,291.4879150390625,292.66729736328125
-36.0,32.5,292.2030944824219,291.68878173828125,292.5032043457031
-36.0,33.125,292.2965087890625,291.85467529296875,292.6510009765625
-36.0,33.75,292.2701416015625,291.9210205078125,292.77398681640625
-36.0,34.375,292.2730712890625,291.6626892089844,292.83135986328125
-36.0,35.0,292.3547668457031,291.5689392089844,292.90826416015625
-36.0,35.625,292.5276184082031,291.76702880859375,293.23492431640625
-36.0,36.25,292.7668762207031,291.9366455078125,293.65167236328125
-36.0,36.875,293.0806884765625,292.3629150390625,293.85302734375
-36.0,37.5,293.2196960449219,292.6714172363281,293.78271484375
-36.0,38.125,293.2118835449219,292.6870422363281,293.7345275878906
-36.0,38.75,293.3974304199219,292.7847900390625,294.050537109375
-36.0,39.375,293.4416809082031,292.9073791503906,294.14886474609375
-36.0,40.0,293.3078918457031,292.7355041503906,294.02386474609375
-36.0,40.625,293.0569152832031,292.4542541503906,293.73480224609375
-36.0,41.25,292.7515869140625,292.2945556640625,293.2879333496094
-36.0,41.875,292.6285400390625,292.26361083984375,293.04022216796875
-36.0,42.5,292.6129150390625,292.3128356933594,292.93670654296875
-36.0,43.125,292.6913757324219,292.3206481933594,293.103759765625
-36.0,43.75,292.7082824707031,292.33392333984375,293.07733154296875
-36.0,44.375,292.5989074707031,292.24798583984375,292.97943115234375
-36.0,45.0,292.5986022949219,292.2536926269531,292.980224609375
-36.0,45.625,292.5631103515625,292.2302551269531,292.9490966796875
-36.0,46.25,292.5377197265625,292.22454833984375,292.8475341796875
-36.0,46.875,292.4511413574219,292.0818176269531,292.769287109375
-36.0,47.5,292.4599304199219,292.262939453125,292.6912841796875
-36.0,48.125,292.5943603515625,292.0870666503906,292.980224609375
-36.0,48.75,292.1132507324219,291.90631103515625,292.41693115234375
-36.0,49.375,292.0344543457031,291.8589172363281,292.39263916015625
-36.0,50.0,292.2362976074219,292.1085205078125,292.3853759765625
-36.0,50.625,292.3537902832031,292.16204833984375,292.597412109375
-36.0,51.25,292.2525634765625,291.75128173828125,292.53326416015625
-36.0,51.875,292.1008605957031,291.66717529296875,292.55670166015625
-35.5,-17.5,291.3622741699219,290.26092529296875,292.5103759765625
-35.5,-16.875,291.6731262207031,290.38592529296875,292.72857666015625
-35.5,-16.25,291.8134460449219,290.4151611328125,292.6752014160156
-35.5,-15.625,291.9045715332031,290.3551025390625,292.6235046386719
-35.5,-15.0,292.1650085449219,290.65936279296875,292.63336181640625
-35.5,-14.375,292.3261413574219,291.56561279296875,292.57867431640625
-35.5,-13.75,292.3238525390625,292.1788330078125,292.45880126953125
